"","Site","Al","Fe","Mg","Ca","Na","K","Ti","P","Mn","Sb","Pb"
"21","1",2.45,0.48,0.55,6.84,17.73,0.76,0.09,0.14,0.62,0.14,0.05
"22","1",2.42,0.49,0.51,7,16.32,0.93,0.08,0.14,0.42,0.1,0.03
"23","1",2.27,0.38,0.48,7.88,16.28,0.52,0.07,0.14,0.26,0,0.01
"24","1",2.48,0.55,0.55,6.64,18.76,0.75,0.09,0.12,0.36,0.24,0.04
"25","0",2.27,0.32,0.39,6.75,17.95,0.75,0.07,0.12,0.18,0,0.01
"26","0",2.32,0.84,0.55,6.19,19.78,0.7,0.1,0.11,0.24,0.37,0.08
"27","1",2.46,0.49,0.54,6.82,18.07,0.75,0.08,0.13,0.6,0.13,0.04
"28","1",2.67,0.34,0.49,6.94,18.04,0.54,0.06,0.11,0.44,0,0.01
"29","1",2.47,0.42,0.51,7.57,17.94,0.76,0.07,0.14,0.41,0,0.01
"30","1",2.4,0.45,0.54,7.62,17.76,0.64,0.08,0.13,0.4,0.11,0.02
"31","1",2.41,0.36,0.54,8.15,16.65,0.54,0.07,0.13,0.44,0.04,0.01
"32","1",2.68,0.38,0.59,8.47,16.14,1.54,0.07,0.14,0.42,0,0.01
"33","1",2.41,0.63,0.53,6.84,17.77,0.76,0.08,0.16,0.45,0.09,0.03
"34","1",2.38,0.55,0.55,6.73,17.37,0.76,0.08,0.16,0.44,0.11,0.04
"35","0",2.5,0.78,0.56,6.4,18.35,0.73,0.11,0.11,0.27,0.26,0.03
"36","0",2.38,0.84,0.54,6.17,18.05,0.7,0.1,0.11,0.26,0.3,0.03
"37","1",2.5,0.54,0.58,7.21,16.86,1.05,0.09,0.14,0.57,0.15,0.04
"38","1",2.35,0.43,0.51,8.02,17.52,0.56,0.07,0.14,0.29,0,0.01
"39","0",2.31,0.74,0.54,6.26,18.59,0.69,0.1,0.1,0.25,0.31,0.03
"40","1",2.42,0.36,0.47,7.31,17.76,0.62,0.07,0.13,0.24,0.04,0.01
"41","0",2.34,0.54,0.54,6.76,17.62,0.68,0.09,0.13,0.42,0.19,0.04
"42","0",2.21,0.85,0.56,6.21,19.64,0.71,0.09,0.11,0.25,0.33,0.03
"43","0",2.17,0.56,0.56,6.22,20.03,0.69,0.1,0.1,0.23,0.43,0.04
"44","1",2.4,0.54,0.54,7.14,16.87,0.79,0.08,0.13,0.56,0.23,0.05
"45","1",2.58,0.37,0.49,7.36,16.58,0.65,0.07,0.13,0.47,0,0.01
"46","0",2.45,0.89,0.55,6.19,18.3,0.71,0.11,0.12,0.26,0.29,0.03
"47","0",2.24,0.52,0.52,6.36,18.69,0.6,0.09,0.11,0.29,0.3,0.03
"48","1",2.49,0.48,0.55,7.32,18.14,1,0.08,0.14,0.4,0.11,0.02
"49","1",2.4,0.5,0.54,6.7,18.85,0.7,0.09,0.12,0.39,0.23,0.04
"50","0",2.27,0.75,0.55,6.24,19.53,0.67,0.09,0.11,0.25,0.31,0.02
"51","0",2.27,0.87,0.56,6.39,18.98,0.68,0.09,0.11,0.29,0.27,0.03
"52","0",2.34,0.43,0.58,9.42,15.72,0.59,0.08,0.13,0.14,0,0.01
"53","0",2.49,0.85,0.54,6.36,18.01,0.73,0.11,0.11,0.27,0.26,0.03
"54","0",2.43,0.44,0.5,6.77,17.7,0.74,0.08,0.15,0.48,0.06,0.02
"55","0",2.25,0.59,0.56,5.52,20.55,1.01,0.12,0.09,0.26,0.41,0.05
"56","1",2.33,0.37,0.52,7.31,16.75,0.49,0.06,0.11,0.9,0,0.01
"57","1",2.46,0.47,0.52,7.03,17.48,0.67,0.08,0.14,0.49,0.13,0.04
"58","0",2.55,0.56,0.58,7.17,17.34,0.72,0.09,0.14,0.69,0.16,0.04
"59","1",2.38,0.64,0.61,5.99,19.63,0.79,0.12,0.14,0.5,0.3,0.07
"60","1",2.38,0.47,0.52,6.79,17.36,0.67,0.08,0.13,0.45,0.14,0.05
"61","1",2.71,0.37,0.47,7.5,16.57,0.48,0.07,0.13,0.21,0,0.01
"62","0",2.23,0.73,0.54,6.07,18.58,0.64,0.1,0.1,0.23,0.3,0.02
"63","0",2.45,0.77,0.56,6.41,19.07,0.73,0.11,0.11,0.28,0.3,0.03
"64","1",2.58,0.37,0.54,7.57,16.11,0.61,0.07,0.14,0.14,0,0.01
"65","0",2.46,0.35,0.51,7.72,16.51,0.56,0.07,0.12,0.17,0,0.01
"66","0",2.17,0.54,0.57,6.23,19.98,0.67,0.1,0.1,0.21,0.43,0.04
"67","1",2.59,0.58,0.56,7.61,16.74,0.68,0.08,0.17,0.5,0.03,0.01
"68","0",2.22,0.48,0.52,6.44,18.66,0.62,0.09,0.11,0.31,0.28,0.03
"69","0",2.52,0.86,0.56,6.45,18.32,0.74,0.12,0.12,0.26,0.27,0.03
"70","0",2.34,0.78,0.58,6.37,19.34,0.73,0.1,0.11,0.26,0.31,0.03
"71","0",2.64,1.11,0.59,7.89,17.78,0.75,0.12,0.15,0.26,0.23,0.03
"72","0",2.32,0.64,0.58,5.66,20.08,0.79,0.13,0.12,0.31,0.41,0.05
"73","0",2.73,0.74,0.55,6.12,18.83,0.77,0.11,0.1,0.29,0.31,0.06
"74","0",2.51,0.78,0.55,6.44,18.3,0.73,0.11,0.12,0.26,0.26,0.03
"75","0",2.37,0.81,0.55,6.38,19.03,0.7,0.1,0.11,0.24,0.32,0.03
"76","0",2.31,0.88,0.57,6.42,18.9,0.76,0.1,0.12,0.28,0.3,0.03
"77","0",2.5,0.78,0.56,6.46,18.57,0.73,0.11,0.12,0.26,0.27,0.03
"78","0",2.57,0.8,0.56,6.43,18.41,0.75,0.12,0.12,0.26,0.26,0.03
"79","0",2.24,0.84,0.56,6.26,19.49,0.73,0.09,0.12,0.23,0.32,0.03
"80","0",2.37,0.44,0.5,6.78,17.15,0.7,0.08,0.15,0.45,0.06,0.02
"81","0",2.48,0.77,0.55,6.36,18.3,0.73,0.11,0.12,0.26,0.26,0.03
"82","0",2.26,0.58,0.61,6.16,19.47,0.74,0.1,0.11,0.21,0.43,0.03
"83","0",2.59,0.48,0.6,8.76,14.5,0.51,0.07,0.13,0.27,0,0.01
"84","0",2.25,0.66,0.52,6.2,18.06,0.64,0.09,0.11,0.24,0.31,0.04
"85","0",2.43,0.48,0.56,7.6,15.57,0.62,0.08,0.16,0.49,0,0.01
"86","0",2.49,0.93,0.55,6.18,16.54,1.1,0.12,0.13,0.25,0.28,0.03
"87","0",2.46,0.76,0.55,6.37,17.95,0.72,0.11,0.12,0.26,0.27,0.03
"88","0",2.47,1.05,0.56,7.62,17.02,0.7,0.11,0.14,0.26,0.23,0.03
"89","0",2.16,0.74,0.53,6.09,17.25,0.65,0.09,0.11,0.25,0.32,0.03
"90","0",2.26,0.58,0.52,6.41,17.28,0.67,0.09,0.13,0.28,0.25,0.03
"91","0",2.29,0.78,0.56,6.24,18.45,0.7,0.1,0.11,0.26,0.32,0.03
"92","0",2.3,0.78,0.53,6.28,18.2,0.65,0.1,0.11,0.25,0.31,0.03
"93","0",2.52,0.65,0.55,6.16,18.69,0.74,0.11,0.1,0.29,0.33,0.06
"94","0",2.28,0.68,0.55,6.37,18.6,0.68,0.1,0.11,0.24,0.32,0.03
"95","0",2.25,0.62,0.56,5.55,19.47,0.74,0.13,0.11,0.31,0.42,0.05
"96","0",2.32,0.8,0.54,6.34,18.25,0.66,0.1,0.11,0.25,0.32,0.03
"97","0",2.35,0.74,0.55,6.54,18.44,0.71,0.1,0.11,0.26,0.29,0.03
"98","0",2.45,0.42,0.61,9.79,16.22,0.62,0.08,0.13,0.14,0,0.01
"99","0",2.19,0.84,0.54,6.13,17.99,0.69,0.1,0.11,0.24,0.33,0.04
"100","0",2.62,0.82,0.54,6.25,17.79,0.73,0.11,0.09,0.29,0.32,0.04
"101","0",2.35,0.65,0.54,6.73,17.91,0.72,0.1,0.12,0.28,0.25,0.06
"102","0",2.44,0.35,0.51,7.7,16.27,0.62,0.07,0.13,0.16,0,0.01
"103","0",2.42,0.68,0.53,6.15,17.19,0.77,0.13,0.11,0.27,0.26,0.03
"104","0",2.52,0.79,0.56,6.37,18.11,0.74,0.12,0.11,0.26,0.27,0.03
"105","0",2.37,0.75,0.55,6.33,18.55,0.69,0.1,0.11,0.25,0.32,0.03
"106","2",2.81,0.36,0.39,6.89,20.05,0.9,0.07,0.15,0.21,0,0.01
"107","2",2.84,0.9,0.58,6.63,20.11,0.84,0.12,0.11,0.29,0.42,0.09
"108","2",2.96,0.85,0.64,6.57,20.52,0.9,0.12,0.11,0.34,0.26,0.03
"109","2",2.51,0.97,0.55,6.42,20.7,0.69,0.11,0.12,0.23,0.32,0.03
"110","2",2.62,0.83,0.53,6.76,21.27,0.75,0.11,0.11,0.25,0.34,0.03
"111","2",2.78,0.59,0.62,8.68,15.43,0.74,0.1,0.15,0.46,0.21,0.04
"112","2",2.06,1.13,0.56,7.75,23.42,0.77,0.1,0.11,0.27,0.39,0.03
"113","2",2.35,0.61,0.63,7.05,20.67,0.79,0.11,0.11,0.24,0.46,0.04
"114","2",2.75,0.93,0.69,5.8,20.61,0.8,0.13,0.12,0.28,0.36,0.03
"115","2",2.24,0.63,0.48,7.56,22.16,0.72,0.09,0.1,0.32,0.36,0.04
"116","2",2.66,0.84,0.57,6.06,19.8,0.57,0.1,0.12,0.27,0.38,0.03
"117","2",2.33,0.91,0.62,5.73,21.38,0.75,0.09,0.13,0.32,0.32,0.04
"118","2",2.96,0.51,0.58,10.62,20.05,0.56,0.08,0.14,0.16,0,0.01
"119","2",2.34,1.16,0.52,6.86,19.66,0.78,0.11,0.13,0.32,0.27,0.03
"120","2",2.14,0.44,0.49,7.66,16.39,0.82,0.09,0.18,0.58,0.07,0.02
"121","2",2.45,0.6,0.59,4.89,22.54,1.11,0.12,0.1,0.31,0.37,0.06
"122","2",2.9,0.64,0.66,8.27,15.85,0.75,0.09,0.15,0.76,0.19,0.04
"123","2",2.64,0.82,0.64,6.02,20.86,0.66,0.12,0.11,0.23,0.35,0.02
"124","2",2.11,0.88,0.49,7.12,21.63,0.77,0.11,0.13,0.38,0.29,0.03
"125","2",2.5,0.32,0.58,7.82,20.27,0.6,0.08,0.16,0.19,0,0.01
"126","2",2.45,0.6,0.67,7.55,21.67,0.72,0.12,0.1,0.26,0.53,0.05
"127","2",2.63,0.48,0.57,7.32,20.42,0.72,0.1,0.15,0.36,0.28,0.03
"128","2",2.44,0.91,0.68,6.05,19.34,0.86,0.14,0.15,0.26,0.26,0.03
"129","2",2.48,0.85,0.55,7.62,24.58,0.87,0.11,0.14,0.29,0.38,0.04
"130","2",3.12,1.36,0.7,7.56,18.01,0.81,0.1,0.16,0.24,0.22,0.03
"131","2",2.65,0.75,0.53,5.91,23.54,0.79,0.14,0.12,0.35,0.41,0.05
"132","2",2.99,0.82,0.68,7.27,19.53,0.96,0.14,0.1,0.37,0.35,0.06
"133","2",2.63,0.81,0.61,7.39,19.79,0.85,0.12,0.13,0.3,0.29,0.03
"134","2",2.47,0.84,0.63,6.6,23.06,0.7,0.11,0.11,0.3,0.41,0.04
"135","2",2.49,0.95,0.56,6.44,18.5,0.76,0.11,0.15,0.29,0.34,0.03
"136","2",2.8,0.86,0.62,8.1,21.13,0.77,0.12,0.13,0.25,0.29,0.04
"137","2",2.99,0.93,0.7,7.17,18.79,0.75,0.13,0.13,0.3,0.29,0.03
"138","2",2.55,0.94,0.63,7.11,23.09,0.86,0.09,0.14,0.27,0.34,0.04
"139","2",2.22,0.53,0.6,6.91,18.66,0.79,0.09,0.16,0.59,0.07,0.02
"140","2",2.72,0.73,0.51,8.78,20.1,0.89,0.1,0.15,0.24,0.28,0.04
"141","2",2.2,0.68,0.59,6.68,20.43,0.61,0.11,0.13,0.22,0.45,0.03
"142","2",2.76,0.53,0.64,10.61,15.01,0.6,0.07,0.14,0.32,0,0.01
"143","2",2.25,0.7,0.63,6.09,17.91,0.64,0.1,0.12,0.29,0.39,0.05
"144","2",2.96,0.5,0.53,7.44,13.66,0.7,0.08,0.18,0.57,0,0.01
"145","2",2.77,1.02,0.49,6.48,20.62,1.41,0.12,0.15,0.28,0.37,0.04
"146","2",2.67,0.91,0.59,7.37,18.9,0.86,0.11,0.15,0.28,0.29,0.03
"147","2",2.77,1.14,0.68,8.78,19.77,0.71,0.11,0.16,0.33,0.27,0.03
"148","2",2.35,0.76,0.55,6.7,17.95,0.82,0.12,0.14,0.21,0.38,0.03
"149","2",3.11,0.72,0.57,7.2,22.23,0.7,0.09,0.13,0.28,0.2,0.03
"150","2",2.25,0.95,0.55,6.41,21.28,0.82,0.11,0.11,0.32,0.32,0.03
"151","2",2.07,0.81,0.51,7.04,21.36,0.62,0.11,0.13,0.26,0.31,0.03
"152","2",2.18,0.71,0.58,7.87,23.5,0.69,0.13,0.11,0.35,0.4,0.07
"153","2",2.51,0.8,0.62,6.94,18.69,0.62,0.1,0.11,0.26,0.38,0.03
"154","2",2.6,0.75,0.57,6.88,20.79,0.81,0.14,0.13,0.35,0.43,0.06
"155","2",2.43,0.72,0.61,6.58,19.12,0.65,0.11,0.12,0.25,0.34,0.03
"156","2",2.98,0.8,0.65,6.9,23.53,0.79,0.11,0.12,0.28,0.32,0.03
"157","2",2.59,0.41,0.63,9.74,18.51,0.73,0.09,0.13,0.15,0,0.01
"158","2",2.24,0.9,0.66,6.36,18.93,0.79,0.12,0.11,0.29,0.35,0.04
"159","2",2.83,0.89,0.64,7.11,19.74,0.84,0.15,0.1,0.3,0.38,0.05
"160","2",2.83,0.76,0.56,9.1,17.54,0.84,0.1,0.16,0.3,0.25,0.06
"161","2",2.54,0.35,0.54,9.33,16.79,0.72,0.07,0.15,0.21,0,0.01
"162","2",2.61,0.76,0.53,7.62,18.71,0.84,0.14,0.13,0.3,0.3,0.03
"163","2",3.08,0.87,0.6,7.04,19.32,0.81,0.16,0.13,0.31,0.25,0.03
"164","2",2.62,0.96,0.7,7.1,22.45,0.67,0.12,0.14,0.25,0.39,0.03
